name,value,year,lastValue,rank
malaria,3200,1950,2865,3
diabetes,3090,1950,2434,4
dengue,143,1950,139,5
chagas,69,1950,41,6
hiv,0,1950,0,7
tuberculosis,19931,1951,15837,1
arthritis,4951,1951,3760,2
diabetes,3876,1951,3090,3
malaria,3539,1951,3200,4
dengue,145,1951,143,5
chagas,109,1951,69,6
hiv,0,1951,0,7
tuberculosis,24649,1952,19931,1
arthritis,6051,1952,4951,2
diabetes,4726,1952,3876,3
malaria,3896,1952,3539,4
chagas,169,1952,109,5
dengue,155,1952,145,6
hiv,0,1952,0,7
tuberculosis,29370,1953,24649,1
arthritis,7080,1953,6051,2
diabetes,5636,1953,4726,3
malaria,4205,1953,3896,4
chagas,224,1953,169,5
dengue,161,1953,155,6
hiv,0,1953,0,7
tuberculosis,33586,1954,29370,1
arthritis,8130,1954,7080,2
diabetes,6558,1954,5636,3
malaria,4530,1954,4205,4
chagas,270,1954,224,5
dengue,170,1954,161,6
hiv,1,1954,0,7
tuberculosis,37422,1955,33586,1
arthritis,9145,1955,8130,2
diabetes,7420,1955,6558,3
malaria,4821,1955,4530,4
chagas,317,1955,270,5
dengue,174,1955,170,6
hiv,1,1955,1,7
tuberculosis,41075,1956,37422,1
arthritis,10172,1956,9145,2
diabetes,8519,1956,7420,3
malaria,5065,1956,4821,4
chagas,353,1956,317,5
dengue,192,1956,174,6
hiv,1,1956,1,7
tuberculosis,44585,1957,41075,1
arthritis,11216,1957,10172,2
diabetes,9641,1957,8519,3
malaria,5280,1957,5065,4
chagas,381,1957,353,5
dengue,200,1957,192,6
hiv,1,1957,1,7
tuberculosis,47522,1958,44585,1
arthritis,12334,1958,11216,2
diabetes,10685,1958,9641,3
malaria,5423,1958,5280,4
chagas,428,1958,381,5
dengue,213,1958,200,6
hiv,1,1958,1,7
